,time,receita,despesas,valor,valor_gol,valor_zag,valor_mei,valor_ata,ano
0,arsenal,53650000.0,160400000.0,607650000.0,31050000.0,148900000.0,203200000.0,224500000.0,2019
1,arsenal,7900000.0,80150000.0,659050000.0,38750000.0,153800000.0,263000000.0,203500000.0,2018
2,arsenal,158000000.0,152850000.0,694000000.0,8500000.0,144250000.0,267050000.0,274200000.0,2017
3,arsenal,10350000.0,113040000.0,542000000.0,32500000.0,153500000.0,201000000.0,155000000.0,2016
4,arsenal,2500000.0,26500000.0,457850000.0,22000000.0,121500000.0,175850000.0,138500000.0,2015
5,aston villa,3000000.0,159500000.0,231700000.0,10750000.0,70900000.0,54800000.0,95250000.0,2019
6,aston villa,16149999.999999998,19100000.0,164450000.0,12650000.0,39800000.0,26500000.0,85500000.0,2018
7,aston villa,17830000.0,2800000.0,96900000.0,3600000.0,27300000.0,21000000.0,45000000.0,2017
8,aston villa,45800000.0,85500000.0,144750000.0,6000000.0,39000000.0,41250000.0,58500000.0,2016
9,aston villa,64700000.0,66550000.0,117950000.0,4500000.0,38950000.0,37500000.0,37000000.0,2015
10,bournemouth,34630000.0,54910000.0,271980000.0,13150000.0,75300000.0,54330000.0,129199999.99999999,2019
11,bournemouth,20200000.0,89100000.0,309950000.0,9000000.0,93500000.0,59150000.0,148300000.0,2018
12,bournemouth,0.0,34300000.0,144500000.0,10500000.0,39250000.0,34000000.0,60750000.0,2017
13,bournemouth,23690000.0,40690000.0,131600000.0,2750000.0,33750000.0,33500000.0,61600000.0,2016
14,bournemouth,65000000.0,55110000.0,99900000.0,2300000.0,26250000.0,7100000.0,64250000.0,2015
15,brighton-albion,8500000.0,74940000.0,200780000.0,9800000.0,58800000.0,71800000.0,60380000.0,2019
16,brighton-albion,13620000.0,87220000.0,194350000.0,13250000.0,53400000.0,68700000.0,59000000.0,2018
17,brighton-albion,40000000.0,66500000.0,148200000.0,11000000.0,35750000.0,47700000.0,53750000.0,2017
18,brighton-albion,0.0,8750000.0,56600000.0,2650000.0,17900000.0,12450000.0,23600000.0,2016
19,brighton-albion,0.0,13470000.0,40850000.0,2150000.0,11700000.0,8250000.0,18750000.0,2015
20,burnley,13550000.0,23850000.0,163880000.0,13380000.0,49200000.0,41600000.0,59700000.0,2019
21,burnley,8000000.0,33000000.0,197250000.0,19750000.0,56000000.0,45500000.0,76000000.0,2018
22,burnley,50000000.0,35740000.0,169300000.0,14750000.0,42000000.0,51300000.0,61250000.0,2017
23,burnley,1200000.0,45600000.0,107180000.0,5000000.0,35250000.0,34350000.0,32580000.0,2016
24,burnley,20700000.0,25710000.0,56500000.0,3750000.0,13100000.0,10750000.0,28900000.0,2015
25,cardiff,19800000.0,18020000.0,63380000.0,5200000.0,16430000.0,16600000.000000002,25150000.0,2019
26,cardiff,0.0,51200000.0,113000000.0,11750000.0,18000000.0,39500000.0,43750000.0,2018
27,cardiff,2650000.0,12670000.0,62150000.0,1350000.0,15600000.0,12100000.0,33100000.0,2017
28,cardiff,6980000.0,4300000.0,44300000.0,5450000.0,13400000.0,10600000.0,14850000.0,2016
29,cardiff,5900000.0,0.0,52500000.0,3150000.0,15750000.0,11300000.0,22300000.0,2015
30,chelsea,157270000.0,45000000.0,705850000.0,33049999.999999996,204400000.0,276900000.0,191500000.0,2019
31,chelsea,83250000.0,208800000.0,1170000000.0,62500000.0,264000000.0,373650000.0,466500000.0,2018
32,chelsea,194600000.0,260500000.0,884250000.0,63000000.0,253750000.0,252500000.0,315000000.0,2017
33,chelsea,108900000.0,132800000.00000001,686700000.0,50650000.0,196400000.0,193650000.0,246000000.0,2016
34,chelsea,87490000.0,96500000.0,553500000.0,47500000.0,121500000.0,155500000.0,229000000.0,2015
35,crystal-palace,55380000.0,7600000.0,189330000.0,6800000.0,44030000.0,52300000.0,86200000.0,2019
36,crystal-palace,35000000.0,11850000.0,289000000.0,10300000.0,91150000.0,61000000.0,126550000.0,2018
37,crystal-palace,3000000.0,48950000.0,220730000.0,5300000.0,59580000.0,69500000.0,86350000.0,2017
38,crystal-palace,50200000.0,101300000.0,228430000.0,12250000.0,52580000.0,60000000.0,103600000.0,2016
39,crystal-palace,5400000.0,28800000.0,135700000.0,7000000.0,28100000.0,44250000.0,56350000.0,2015
40,everton,80500000.0,121000000.0,420300000.0,31900000.0,103900000.0,108700000.0,175800000.0,2019
41,everton,28650000.0,99800000.0,529100000.0,41500000.0,149100000.0,153000000.0,185500000.0,2018
42,everton,126380000.0,203200000.0,381250000.0,34500000.0,91500000.0,125000000.0,130250000.0,2017
43,everton,60800000.0,86000000.0,311250000.0,7000000.0,64250000.0,104000000.0,136000000.0,2016
44,everton,11000000.0,48900000.0,249850000.0,5100000.0,87500000.0,60000000.0,97250000.0,2015
45,fulham,28500000.0,37000000.0,116600000.0,6250000.0,33600000.0,37200000.0,39550000.0,2019
46,fulham,5350000.0,116500000.0,254250000.0,20000000.0,96500000.0,77000000.0,60750000.0,2018
47,fulham,18200000.0,20170000.0,125550000.0,3600000.0,50000000.0,32200000.000000004,39750000.0,2017
48,fulham,23780000.0,25550000.0,65849999.99999999,3750000.0,20350000.0,25250000.0,16500000.0,2016
49,fulham,9520000.0,8670000.0,46200000.0,3650000.0,13450000.0,16350000.000000002,12750000.0,2015
50,huddersfield,29100000.0,13000000.0,88080000.0,8150000.0,20280000.0,28900000.0,30750000.0,2019
51,huddersfield,12330000.0,50700000.0,137450000.0,6100000.0,41000000.0,45350000.0,45000000.0,2018
52,huddersfield,6460000.0,56750000.0,106050000.0,5850000.0,35850000.0,31600000.0,32750000.0,2017
53,huddersfield,1450000.0,4450000.0,39350000.0,2900000.0,8750000.0,14600000.0,13100000.0,2016
54,huddersfield,10400000.0,63500000.0,27350000.0,2300000.0,4950000.0,9150000.0,10950000.0,2015
55,hull-city,22250000.0,3690000.0,49880000.0,95000000.0,10100000.0,14430000.0,24400000.0,2019
56,hull-city,0.0,2400000.0,55400000.0,1900000.0,14500000.0,16500000.0,22500000.0,2018
57,hull-city,45170000.0,19850000.0,70450000.0,3100000.0,13750000.0,26350000.0,27250000.0,2017
58,hull-city,28900000.0,40000000.0,135850000.0,6000000.0,40850000.0,38500000.0,50500000.0,2016
59,hull-city,35150000.0,11450000.0,69980000.0,2850000.0,25850000.0,22000000.0,19280000.0,2015
60,leicester,88500000.0,104300000.0,411100000.0,16600000.000000002,138900000.0,188650000.0,66950000.0,2019
61,leicester,95800000.0,114600000.0,434100000.0,20750000.0,161750000.0,177100000.0,74500000.0,2018
62,leicester,50100000.0,88350000.0,304250000.0,11500000.0,64500000.0,76250000.0,152000000.0,2017
63,leicester,66050000.0,92100000.0,218650000.0,17500000.0,32049999.999999996,57600000.0,111500000.0,2016
64,leicester,9450000.0,49900000.0,161100000.0,6000000.0,32000000.0,48500000.0,74600000.0,2015
65,liverpool,41600000.0,10400000.0,1000000000.0,88350000.0,340750000.0,208950000.0,364650000.0,2019
66,liverpool,41320000.0,182200000.0,1170000000.0,93900000.0,336500000.0,285000000.0,457000000.0,2018
67,liverpool,184500000.0,173880000.0,857500000.0,25500000.0,233500000.0,245000000.0,353500000.0,2017
68,liverpool,85380000.0,79900000.0,425650000.0,23700000.0,118750000.0,153100000.0,130100000.0,2016
69,liverpool,90550000.0,126500000.0,375250000.0,15600000.0,124850000.0,116350000.0,118450000.0,2015
70,man city,71000000.0,159520000.0,1050000000.0,59800000.0,252450000.0,368950000.0,367480000.0,2019
71,man city,57600000.0,78590000.0,1200000000.0,74500000.0,306900000.0,377350000.0,444700000.0,2018
72,man city,91350000.0,317500000.0,1010000000.0,65500000.0,278000000.0,314500000.0,351000000.0,2017
73,man city,35350000.0,215000000.0,606700000.0,22750000.0,151650000.0,193300000.0,239000000.0,2016
74,man city,67440000.0,208200000.0,499350000.0,20250000.0,152100000.0,189000000.0,138000000.0,2015
75,man united,81180000.0,226780000.0,670450000.0,44130000.0,211900000.0,238980000.0,175450000.0,2019
76,man united,30550000.0,82700000.0,797600000.0,70100000.0,192000000.0,284000000.0,251500000.0,2018
77,man united,45500000.0,198400000.0,849500000.0,78500000.0,178000000.0,287000000.0,306000000.0,2017
78,man united,47250000.0,185000000.0,531450000.00000006,47200000.0,151250000.0,232000000.0,101000000.0,2016
79,man united,102070000.0,156000000.0,439850000.0,48750000.0,123500000.0,141600000.0,126000000.0,2015
80,middlesbrough,14150000.0,3520000.0,60130000.0,4830000.0,22100000.0,14650000.0,18550000.0,2019
81,middlesbrough,48090000.0,21500000.0,101330000.0,4850000.0,31230000.0,31000000.0,34250000.0,2018
